,train_loss,train_reconstruction_loss,test_loss,test_reconstruction_loss
0,0.2699948612067315,0.2665463947617375,0.2656196727825272,0.2633665082605438
1,0.2631618671260916,0.2611476045858872,0.2607154241071652,0.2589142908117531
2,0.2590775230267384,0.2574414280769942,0.2573468231833791,0.25585886877928743
3,0.25627261770141496,0.254902295977086,0.2550315270309426,0.25376832558483375
4,0.25434564174832525,0.2531696698284364,0.2534406558900583,0.25234405029852996
5,0.2530228328463194,0.2519926385239915,0.2523482655124865,0.2513787588344525
6,0.25211440805379337,0.25119654958073917,0.2515965011276183,0.25072639534987107
7,0.2514883321714592,0.2506591991276235,0.2510796311448832,0.2502887428714185
8,0.2510579264870993,0.25030016860327087,0.25072172427205347,0.2499947164390908
9,0.25075842320799707,0.2500591929237525,0.2504712886218444,0.24979800502366148
10,0.25055101545932174,0.24990036823340245,0.2502962106912979,0.24966732225875943
11,0.2504031989906166,0.2497934315939088,0.25017247424053085,0.24958099121232222
12,0.25029714043075973,0.2497221706239311,0.250080579791471,0.2495216729699588
13,0.2502191803223259,0.24967444918535134,0.25001476558505514,0.24948348164279233
14,0.25016113279668895,0.24964246924246872,0.24996295979626007,0.24945631162623333
15,0.2501175493464336,0.24962175333941425,0.24992477831014145,0.249439358955524
16,0.2500833926929368,0.24960766774457735,0.24989482390517653,0.24942812012983986
17,0.25005656967799106,0.24959862954892195,0.24986963406798432,0.24941993750788846
18,0.25003412588908747,0.24959217984456797,0.2498483227203825,0.2494139998313694
19,0.250016474240535,0.2495888454524485,0.24983158718087914,0.24941056153673757
